"num_particles",1,2,4,8,12,16,24
10,0.135,0.3058,1.0929,0.7428,1.1044,1.2064,6.0755
50,0.9915,0.76,0.8646,1.0663,1.2482,1.3707,2.3928
100,2.8693,1.6429,1.4035,1.4703,1.3817,1.9002,2.4144
200,7.135,3.9721,2.6009,2.0501,2.2285,2.3801,2.9341
500,19.1129,9.8666,5.5991,3.4608,3.4366,4.0753,4.4286
750,29.9571,15.3172,8.6991,4.9217,5.7416,5.8728,5.6508
1000,41.2669,20.8781,11.6951,6.4926,7.0521,6.6995,6.652
2000,92.8095,46.3745,25.1005,13.9845,14.9353,13.3492,16.0165
5000,308.749,157.685,81.7132,43.7727,56.4899,40.9342,35.9787
7500,560.8,282.699,145.882,76.2475,92.6639,70.2636,58.7702
10000,882.164,444.671,227.571,129.29,150.678,108.654,87.0224